,Track_ID,Popularity,Acousticness,Danceability,Duration_ms,Energy,Instrumentalness,Key,Liveness,Mode,Loudness,Tempo,Time_signature,Speechiness,Valence
0,51pshtuYkgUQnt5huMPbKL,80,0.0135,0.794,195873.0,0.766,0.0,9.0,0.0785,0.0,-3.894,127.007,4.0,0.0377,0.55
1,0JXXNGljqupsJaZsgSbMZV,81,0.0267,0.684,195373.0,0.607,0.000307,11.0,0.191,0.0,-8.127,81.001,4.0,0.1,0.498
2,7BqBn9nzAq8spo5e7cZ0dJ,81,0.0134,0.635,220734.0,0.841,0.0,5.0,0.0622,1.0,-5.379,109.021,4.0,0.0422,0.424
3,161DnLWsx1i3u1JT05lzqU,81,0.511,0.498,217867.0,0.59,0.0,1.0,0.107,0.0,-4.721,145.867,4.0,0.032,0.0784
4,03tqyYWC9Um2ZqU0ZN849H,76,0.00544,0.76,263773.0,0.595,0.0,1.0,0.241,1.0,-6.366,131.497,4.0,0.0391,0.361
5,1UGD3lW3tDmgZfAVDh6w7r,78,0.0175,0.435,351947.0,0.76,0.0,8.0,0.158,0.0,-4.935,80.082,4.0,0.0721,0.206
6,1eUGmzzvahJjOSWgDHuRlv,78,0.856,0.372,102813.0,0.239,0.000175,6.0,0.168,0.0,-11.314,113.451,4.0,0.0296,0.127
7,3DK6m7It6Pw857FcQftMds,78,0.219,0.374,547733.0,0.568,0.00219,1.0,0.513,0.0,-3.825,84.733,4.0,0.109,0.111
8,2tJulUYLDKOg9XrtVkMgcJ,77,0.148,0.704,222091.0,0.558,0.0,2.0,0.107,0.0,-7.273,110.444,4.0,0.0542,0.245
9,0V5cvmTKsYmF5FmGGEAfmS,84,0.989,0.303,160853.0,0.187,0.489,2.0,0.101,1.0,-16.757,132.731,4.0,0.0356,0.213
10,0I1eFRytp4XRhLCjT6tZm7,79,0.0447,0.247,198213.0,0.438,0.000867,5.0,0.111,1.0,-8.478,185.711,3.0,0.0358,0.39
11,10eBRyImhfqVvkiVEGf0N0,73,0.0739,0.455,352187.0,0.623,0.000424,8.0,0.146,1.0,-3.878,163.893,4.0,0.0288,0.208
12,3hlksXnvbKogFdPbpO9vel,78,0.271,0.723,200013.0,0.86,4.56e-06,11.0,0.598,1.0,-4.357,126.979,4.0,0.203,0.667
13,4HlFJV71xXKIGcU3kRyttv,81,0.185,0.673,216773.0,0.886,0.0,1.0,0.0826,0.0,-4.44,97.012,4.0,0.0431,0.795
14,3avYqdwHKEq8beXbeWCKqJ,73,0.00125,0.652,230733.0,0.812,3.01e-05,3.0,0.667,0.0,-3.797,126.023,4.0,0.0409,0.72
15,15JINEqzVMv3SvJTAXAKED,82,0.241,0.749,263373.0,0.925,0.0,10.0,0.52,1.0,-5.034,86.989,4.0,0.227,0.641
16,2gZUPNdnz5Y45eiGxpHGSc,78,0.0161,0.542,292093.0,0.914,0.0,0.0,0.744,0.0,-4.747,153.993,4.0,0.113,0.576
17,2ncLdwTd8qzkxiJjlbiOgC,72,0.38,0.675,294213.0,0.734,0.895,7.0,0.141,1.0,-8.659,101.998,4.0,0.0265,0.533
18,0HPD5WQqrq7wPWR7P7Dw1i,80,0.0991,0.755,199693.0,0.837,0.0,2.0,0.289,0.0,-2.718,120.028,4.0,0.142,0.714
19,0UV5zxRMz6AO4ZwUOZNIKI,76,0.132,0.454,234800.0,0.82,0.000969,2.0,0.115,1.0,-4.193,166.303,4.0,0.0567,0.575
