,Acousticness,Danceability,Duration_ms,Energy,Instrumentalness,Key,Liveness,Mode,Loudness,Tempo,Time_signature,Speechiness,Valence
0,0.0135,0.794,195873.0,0.766,0.0,9.0,0.0785,0.0,-3.894,127.007,4.0,0.0377,0.55
1,0.0267,0.684,195373.0,0.607,0.000307,11.0,0.191,0.0,-8.127,81.001,4.0,0.1,0.498
2,0.0134,0.635,220734.0,0.841,0.0,5.0,0.0622,1.0,-5.379,109.021,4.0,0.0422,0.424
3,0.511,0.498,217867.0,0.59,0.0,1.0,0.107,0.0,-4.721,145.867,4.0,0.032,0.0784
4,0.00544,0.76,263773.0,0.595,0.0,1.0,0.241,1.0,-6.366,131.497,4.0,0.0391,0.361
5,0.0175,0.435,351947.0,0.76,0.0,8.0,0.158,0.0,-4.935,80.082,4.0,0.0721,0.206
6,0.856,0.372,102813.0,0.239,0.000175,6.0,0.168,0.0,-11.314,113.451,4.0,0.0296,0.127
7,0.219,0.374,547733.0,0.568,0.00219,1.0,0.513,0.0,-3.825,84.733,4.0,0.109,0.111
8,0.148,0.704,222091.0,0.558,0.0,2.0,0.107,0.0,-7.273,110.444,4.0,0.0542,0.245
9,0.989,0.303,160853.0,0.187,0.489,2.0,0.101,1.0,-16.757,132.731,4.0,0.0356,0.213
10,0.0447,0.247,198213.0,0.438,0.000867,5.0,0.111,1.0,-8.478,185.711,3.0,0.0358,0.39
11,0.0739,0.455,352187.0,0.623,0.000424,8.0,0.146,1.0,-3.878,163.893,4.0,0.0288,0.208
12,0.271,0.723,200013.0,0.86,4.56e-06,11.0,0.598,1.0,-4.357,126.979,4.0,0.203,0.667
13,0.185,0.673,216773.0,0.886,0.0,1.0,0.0826,0.0,-4.44,97.012,4.0,0.0431,0.795
14,0.00125,0.652,230733.0,0.812,3.01e-05,3.0,0.667,0.0,-3.797,126.023,4.0,0.0409,0.72
15,0.241,0.749,263373.0,0.925,0.0,10.0,0.52,1.0,-5.034,86.989,4.0,0.227,0.641
16,0.0161,0.542,292093.0,0.914,0.0,0.0,0.744,0.0,-4.747,153.993,4.0,0.113,0.576
17,0.38,0.675,294213.0,0.734,0.895,7.0,0.141,1.0,-8.659,101.998,4.0,0.0265,0.533
18,0.0991,0.755,199693.0,0.837,0.0,2.0,0.289,0.0,-2.718,120.028,4.0,0.142,0.714
19,0.132,0.454,234800.0,0.82,0.000969,2.0,0.115,1.0,-4.193,166.303,4.0,0.0567,0.575
20,0.347,0.68,229400.0,0.741,1.87e-06,2.0,0.117,1.0,-5.055,127.024,4.0,0.0357,0.635
21,0.0846,0.4,198773.0,0.915,0.0,0.0,0.0503,1.0,-4.89,88.917,3.0,0.28,0.878
22,0.0162,0.719,227741.0,0.798,2.34e-06,10.0,0.134,1.0,-4.582,120.011,4.0,0.0361,0.591
23,0.0869,0.676,200173.0,0.703,0.000687,8.0,0.0463,0.0,-5.815,92.761,4.0,0.0302,0.852
24,0.0338,0.663,220800.0,0.861,0.0,7.0,0.082,0.0,-3.398,119.963,4.0,0.109,0.654
25,0.0401,0.728,214240.0,0.859,0.0,5.0,0.111,0.0,-5.237,65.043,4.0,0.137,0.535
26,0.332,0.621,230192.0,0.82,0.0,10.0,0.104,1.0,-4.865,144.905,4.0,0.0367,0.452
27,0.0728,0.776,295920.0,0.603,6.25e-05,5.0,0.111,1.0,-5.696,96.888,4.0,0.0343,0.921
28,0.112,0.789,235493.0,0.706,1.71e-05,11.0,0.0586,0.0,-4.233,125.911,4.0,0.0429,0.638
29,0.000812,0.691,227333.0,0.795,1.02e-06,1.0,0.156,0.0,-4.021,133.971,4.0,0.0355,0.876
30,0.0796,0.531,299613.0,0.803,1.71e-05,1.0,0.176,1.0,-3.284,142.113,4.0,0.0717,0.221
31,0.0951,0.836,190564.0,0.777,1.68e-06,6.0,0.0561,0.0,-5.376,94.977,4.0,0.0439,0.504
32,0.0105,0.769,243600.0,0.684,0.000125,1.0,0.0887,1.0,-5.019,127.972,4.0,0.0411,0.835
33,0.179,0.768,213293.0,0.82,0.0,7.0,0.689,0.0,-4.63,129.965,4.0,0.0474,0.625
34,0.432,0.715,203173.0,0.584,1.41e-06,8.0,0.095,1.0,-8.231,90.99,4.0,0.0296,0.609
35,0.389,0.671,294227.0,0.726,0.882,7.0,0.14,1.0,-8.689,102.002,4.0,0.0272,0.581
36,0.191,0.583,203600.0,0.888,4.58e-05,11.0,0.0936,0.0,-9.414,93.206,4.0,0.0349,0.706
37,0.000346,0.482,212293.0,0.833,0.0,5.0,0.365,1.0,-5.611,148.039,4.0,0.0449,0.74
38,0.529,0.855,248133.0,0.954,0.0,0.0,0.205,0.0,-1.19,114.635,5.0,0.264,0.668
39,0.386,0.688,268320.0,0.853,0.0,10.0,0.0862,1.0,-5.814,103.993,4.0,0.0493,0.743
40,0.0205,0.844,242013.0,0.601,0.0,1.0,0.385,1.0,-5.283,73.989,4.0,0.157,0.331
41,0.0111,0.722,201160.0,0.758,0.0,11.0,0.308,0.0,-4.477,128.047,4.0,0.0471,0.62
42,0.11,0.66,180480.0,0.867,0.0,6.0,0.0368,0.0,-4.285,93.033,4.0,0.116,0.377
43,0.00379,0.751,202613.0,0.783,0.0,4.0,0.036,1.0,-3.724,119.975,4.0,0.0859,0.816
44,0.063,0.687,192253.0,0.631,0.0,9.0,0.108,1.0,-5.612,186.071,4.0,0.129,0.853
45,0.186,0.659,219427.0,0.628,0.0,0.0,0.105,0.0,-8.685,94.05,4.0,0.179,0.262
46,0.851,0.589,197470.0,0.389,0.0,0.0,0.0772,1.0,-5.972,89.1,4.0,0.028,0.501
47,0.00676,0.435,216893.0,0.837,0.0,3.0,0.117,1.0,-8.126,124.913,4.0,0.449,0.778
48,0.181,0.664,211253.0,0.845,0.0,4.0,0.267,0.0,-6.115,96.005,4.0,0.0461,0.357
49,0.0048,0.7,202960.0,0.709,0.0,7.0,0.029,1.0,-5.006,122.019,4.0,0.0838,0.624
50,0.239,0.762,239147.0,0.387,0.00756,10.0,0.13,0.0,-8.643,109.959,4.0,0.0277,0.274
51,0.455,0.667,273893.0,0.381,0.0,3.0,0.116,1.0,-7.494,135.975,4.0,0.0294,0.199
52,0.0927,0.587,277573.0,0.622,0.000636,4.0,0.2,1.0,-5.535,107.943,4.0,0.0303,0.231
53,0.0489,0.704,211453.0,0.83,0.0,11.0,0.111,1.0,-3.139,127.103,4.0,0.0297,0.957
54,0.263,0.658,148448.0,0.762,0.0,10.0,0.127,0.0,-3.028,163.864,4.0,0.0425,0.823
55,1.51e-05,0.689,233867.0,0.739,0.509,2.0,0.064,1.0,-5.81,120.423,4.0,0.026,0.578
56,0.0107,0.35,233560.0,0.845,0.0,7.0,0.123,1.0,-5.614,99.643,5.0,0.2,0.45
57,0.198,0.781,269493.0,0.745,1.14e-05,4.0,0.36,0.0,-5.81,129.998,4.0,0.0332,0.326
58,0.117,0.529,293027.0,0.67,0.0,2.0,0.334,1.0,-4.663,141.893,4.0,0.0303,0.286
59,0.0038,0.788,234653.0,0.753,0.0,0.0,0.18,1.0,-3.71,125.005,4.0,0.0536,0.403
60,0.3,0.794,189109.0,0.711,0.0,8.0,0.0955,0.0,-5.124,174.915,4.0,0.0699,0.955
61,0.0947,0.846,220057.0,0.747,0.0,1.0,0.159,0.0,-5.074,95.003,4.0,0.0533,0.517
